spotify_id,title,artist,genre,released_year,key,mode,bpm
74tsW4h0WDYRpfD19gc10W,Faded <ODESZA Remix>,ZHU,Pop,2014-09-15,0,1,125.016
74Ru27B7Jx8mBt5MGvGLLv,Light,San Holo,EDM/Pop,2016-11-22,1,1,150.068
74O9npfj7FDvH0quYbBeQ3,On Our Own,Showtek,EDM,2017-03-31,9,0,183.76
74eDdfWtlPPhjsRstBXUBc,I Need Your Love <Nicky Romero Remix>,Calvin Harris,EDM,2013-04-12,0,0,125.013
744ZuzjXQmoJmOdk2I1ym9,Keep It Undercover,Zendaya,Pop,2015-01-01,0,1,109.974
73vEP9D6XDrPnPdsMIoN0Z,Gold Skies <Tiesto Remix>,Sander Van Doorn,Dance/EDM,2014-09-29,2,1,128.012
73ucpKq91TuejrLHgzDNHK,Poison,Rita Ora,Pop,2015-05-18,10,1,124.023
73TU1voolT9RHWGLOHyM0J,Titanium <Alesso Remix>,David Guetta,EDM/Pop,2011-12-09,0,0,125.981
73qbBlEAcm2HfnAaSnP1II,Say OK,Vanessa Hudgens,Pop,2006-01-01,9,0,126.505
73nYqSz1U08iCWfdnG65KV,Like I Love You <Keanu Silva Remix>,Lost Frequencies,EDM,2018-12-07,1,1,125.949
73IFtNOdL6gTXhQzvR69b5,Up All Night,Blink 183,Pop,2011-01-01,9,1,155.966
73iA9tbFNvev9M8Q83Q93D,Too Good At Goodbyes <Galantis Remix>,Sam Smith,EDM/Pop,2017-09-29,5,1,95.882
735RSTb2xbtWbDtKD9XDYi,Somebody,Internet Money,Hip Hop,2019-10-11,6,0,89.921
732x2Fy6jbt7qC70Zg463q,Save As Draft,Katy Perry,Pop,2017-06-09,9,1,131.76
72TFWvU3wUYdUuxejTTIzt,Work,Rihanna,EDM/Pop,2016-01-28,11,1,91.974
72gv4zhNvRVdQA0eOenCal,Symphony,Clean Bandit,Dance Pop,2018-11-30,0,0,122.956
72C7aUQECOhNtnD0AC36ua,They Don't Know About Us,One Direction,Pop,2012-11-09,0,1,147.89
72Bz4ciRZPBcVSw0nrZDHi,Do It Again,Pia Mia,Pop,2015-05-04,8,1,95.95
7258lBUFSE45SJmxoJmfYk,Tired <Lemarroy Remix>,Alan Walker,EDM/Pop,2017-06-23,2,1,137.963
720IIHD0NvNfDURgWSB3rP,Say You Won't Let Go <Luca Schreiner Remix>,James Arthur,EDM/Pop,2016-10-21,10,1,105.002
71vsEyBd4X1D5BUmLdFSVH,Black Widow,Iggy Azalea,Pop,2014-01-01,11,1,163.99
71UYuIZf0TeXAjyy72COVr,Tear Me Down,Davai,Dance Pop,2019-09-20,11,1,100.02
71SvEDmsOwIWw1IozsZoMA,Any Way You Want It,Journey,Classic Rock,1980,7,1,138.158
70YPzqSEwJvAIQ6nMs1cjY,In Your Arms,Illenium,Dance Pop,2019-08-16,2,1,148.036
70Vdd1gx5tn84jkAU31ASv,Sexy And I Know It,LMFAO,EDM/Pop,2011-01-01,7,1,130.021
70PH29yzcK8ZQVseOZlAJG,Save Tonight,Sam Feldt,Tropical,2017-11-24,1,1,114.996
70mkLFWSI7m32pryOXcjsl,Superlove <Avicii & Lenny Kravitz Remix>,Avicii,EDM,2015-12-11,9,0,127.959
70eFcWOvlMObDhURTqT4Fv,Beautiful People,Ed Sheeran,Pop,2019-07-12,5,0,92.977
70eDxAyAraNTiD6lx2ZEnH,Ex's & Oh's,Elle King,Pop,2015-02-13,7,1,139.986
